Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
file1.txt,2007.2,1250.0,1003.6,414.7,5,0,4
file2.txt,1678.3,1258.7,722.6,567.2,16,0,2
file3.txt,2055.6,1213.1,834.0,421.2,5,0,2
file4.txt,1897.5,1226.6,808.1,577.2,10,0,4
file5.txt,2248.1,990.8,982.5,482.9,12,1,6
file6.txt,1800.5,1222.8,982.7,570.1,6,0,2
file7.txt,1776.7,1281.4,589.6,479.6,4,0,0
file8.txt,1951.6,1166.5,748.3,330.2,8,0,2
file9.txt,1645.0,1453.1,760.8,747.1,10,2,0
file10.txt,1885.5,1144.8,922.6,532.0,12,0,1
file11.txt,2100.4,1246.9,878.7,393.3,12,0,7
file12.txt,1588.9,1378.0,512.0,549.7,14,0,0
file13.txt,1946.2,1443.9,466.4,412.6,9,0,2
file14.txt,1804.3,1391.5,542.7,477.7,9,0,3
file15.txt,1600.0,1324.4,631.1,382.2,6,0,5
file16.txt,1918.2,1683.4,529.8,435.9,11,0,1
file17.txt,1478.8,1667.8,664.5,586.3,10,1,1
file18.txt,1875.6,1181.2,928.8,505.0,9,0,1
file19.txt,1486.0,1635.5,682.2,523.4,8,0,2
file20.txt,1850.5,1314.2,793.1,589.1,5,0,2
file21.txt,2079.7,981.5,971.8,330.4,10,0,2
