Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
file1.txt,1723.8,1353.1,722.9,537.5,9,0,3
file2.txt,1435.5,1300.6,587.7,587.7,8,0,5
file3.txt,2137.7,1409.1,736.6,248.2,9,0,5
file4.txt,1915.9,1309.6,630.6,347.6,10,0,5
file5.txt,1563.7,1341.7,550.2,521.2,9,0,4
file6.txt,1616.2,1345.5,724.5,636.9,10,0,1
file7.txt,1671.5,1265.7,570.0,454.1,9,0,9
file8.txt,1799.7,1269.0,770.7,701.4,8,0,1
file9.txt,1633.3,1125.0,841.7,858.3,7,0,3
file10.txt,1851.9,1216.9,592.6,465.6,7,0,3
file11.txt,1991.7,1393.2,619.2,412.8,6,0,6
file12.txt,1641.2,1264.0,703.4,693.2,3,0,2
file13.txt,1968.6,1264.5,820.2,458.0,8,0,3
file14.txt,1888.7,1207.8,556.5,426.3,12,0,4
file15.txt,1877.0,1399.7,671.5,258.9,4,0,3
file16.txt,1733.4,1306.6,548.8,453.0,11,0,4
file17.txt,1443.1,1137.0,903.8,947.5,8,0,4
file18.txt,1772.1,1308.8,536.8,419.1,7,0,1
file19.txt,1711.3,1367.1,669.2,783.9,7,0,7
file20.txt,1827.4,1298.6,715.4,575.4,10,0,3
file21.txt,1785.0,1247.5,669.4,344.8,5,0,1
file22.txt,1760.3,1400.7,561.8,456.9,7,0,3
file23.txt,1811.9,1328.7,647.1,405.5,6,0,6
file24.txt,1814.6,1256.9,722.7,526.3,9,0,7
file25.txt,1688.4,1320.0,637.0,598.6,4,0,2
file26.txt,1754.2,1406.9,507.6,605.5,12,0,7
file27.txt,1781.5,1633.9,541.3,433.1,11,1,4
file28.txt,1757.2,1332.8,679.1,475.4,9,0,5
file29.txt,1803.0,1123.2,945.8,433.5,13,0,5
