Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
file1.txt,2244.6,1223.2,807.1,529.6,1,0,1
file2.txt,2023.2,1224.2,567.0,399.5,3,0,0
file3.txt,2294.0,1017.8,1227.8,581.6,8,0,1
file4.txt,1847.2,1208.3,694.4,597.2,2,0,0
file5.txt,1783.3,1385.5,685.9,823.0,1,0,0
file6.txt,2406.1,1057.0,890.1,653.7,1,0,0
file7.txt,2458.6,1201.7,953.0,483.4,3,0,1
file8.txt,2080.3,1463.4,487.8,502.2,2,0,1
file9.txt,2130.9,1392.8,738.2,515.3,1,0,1
file10.txt,2130.2,1346.2,576.9,429.0,1,0,0
file11.txt,2327.1,1156.9,758.0,651.6,1,0,0
file12.txt,2397.1,1352.9,779.4,764.7,2,0,1
file13.txt,2736.0,1184.0,928.0,384.0,0,0,1
file14.txt,2443.8,1207.9,828.7,491.6,3,0,1
file15.txt,2234.5,1172.7,966.7,554.7,0,0,2
file16.txt,2081.4,1191.6,573.2,588.2,2,0,0
file17.txt,2564.5,1234.7,732.7,474.9,0,0,0
file18.txt,2254.9,1106.4,1106.4,560.2,2,0,4
file19.txt,2141.7,1095.0,869.6,611.9,7,0,1
file20.txt,2230.3,1224.5,568.5,758.0,2,0,1
file21.txt,1854.8,1142.5,752.7,752.7,3,0,0
file22.txt,2431.3,1201.2,824.9,738.1,0,0,0
file23.txt,2156.6,1123.7,624.3,681.0,2,0,1
file24.txt,2358.5,1064.7,1051.2,646.9,0,0,0
file25.txt,2255.7,1278.7,718.4,474.1,1,0,0
file26.txt,2304.7,1315.1,716.1,481.8,2,0,0
file27.txt,2162.6,1103.0,928.9,754.7,0,0,1
file28.txt,2267.5,1435.6,701.5,358.9,0,0,0
file29.txt,2232.0,1497.8,690.2,396.5,1,0,0
file30.txt,2384.0,1265.8,1118.1,337.6,0,0,0
file31.txt,2490.1,1072.8,688.7,423.8,4,0,1
file32.txt,1732.6,1596.2,682.1,545.7,4,0,0
file33.txt,2231.4,1330.6,628.1,702.5,0,0,0
file34.txt,2016.9,1171.5,797.1,483.1,2,0,0
file35.txt,2169.7,1293.5,667.6,431.2,2,0,1
file36.txt,1747.2,1392.0,639.2,582.4,2,0,0
file37.txt,1883.6,1332.3,827.0,566.6,2,0,0
file38.txt,2442.0,1255.1,668.5,641.2,1,0,2
file39.txt,2312.1,1049.6,922.0,510.6,0,0,1
file40.txt,2580.2,1005.8,714.3,422.7,0,0,2
file41.txt,2048.5,1132.1,822.1,687.3,0,0,1
file42.txt,2017.2,1328.4,701.1,467.4,1,0,0
file43.txt,2017.8,1409.5,830.9,549.0,1,0,1
file44.txt,2479.7,1206.0,718.2,474.3,4,0,0
file45.txt,1997.6,1447.4,717.7,610.0,2,0,0
file46.txt,2308.7,1173.5,829.1,471.9,1,0,0
file47.txt,2383.2,1386.3,623.1,545.2,0,0,0
file48.txt,2087.7,1210.3,1255.7,469.0,0,0,0
file49.txt,1962.8,1375.4,630.4,401.1,1,0,0
file50.txt,2432.1,1236.4,584.2,448.4,2,0,0
file51.txt,2194.5,1222.1,775.3,801.6,2,0,3
file52.txt,2427.1,1143.5,910.2,653.4,0,0,1
file53.txt,2409.6,1311.9,629.2,455.2,2,0,1
file54.txt,2275.1,1221.1,706.9,668.4,0,0,1
file55.txt,2243.0,1335.1,680.9,507.3,0,0,1
file56.txt,2083.9,1118.9,909.1,811.2,1,0,0
