Season,sadness,joy,anger,fear,surprise,disgust,neutral
Season 1,0.07965304076627802,0.05066282635430859,0.16504453193451005,0.0601263866758024,0.12229605770554561,0.1389702775683757,0.38324687920350226
Season 2,0.06370745397416883,0.04983533295154457,0.1664341124302205,0.06534112158586602,0.11159527938385173,0.13558655812956014,0.407500140602007
Season 3,0.06677739819786893,0.049465729612012906,0.14827165531114828,0.06478085204403687,0.11995490485222952,0.14134794402897172,0.4094015153954074
Season 4,0.07343373774258026,0.051749022992438144,0.15709722154066766,0.061512045046742694,0.12063711981976534,0.13899141994425357,0.39657943223487396
Season 5,0.07540575888593216,0.060131325318504514,0.1470806928760989,0.062250721165730084,0.1188221438484373,0.1283918501273,0.4079175084474523
Season 6,0.08487644646055403,0.0499733536299402,0.1622873017324452,0.062328669462006395,0.1035051729993006,0.11401773345618703,0.4230113208740418
Season 7,0.06431105122717008,0.046051877898525065,0.149348133767394,0.06584994618019921,0.12032724593018392,0.11734527728672789,0.43676646669881714
Season 8,0.0707376054399183,0.05616777863361511,0.17170764484751994,0.05290561981454249,0.1165823911272501,0.10475205562374774,0.42714690214745943
