Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
file1.txt,2040.2,1084.3,763.1,409.6,5,1,1
file2.txt,1657.5,1033.9,876.1,268.4,7,3,5
file3.txt,1844.5,1103.1,623.9,388.8,5,3,3
file4.txt,1897.5,935.3,638.5,368.7,5,3,6
file5.txt,1530.5,1042.3,554.0,582.2,2,4,3
file6.txt,1996.1,964.3,848.6,655.7,2,0,0
file7.txt,2000.0,1220.8,779.2,545.5,3,0,0
file8.txt,2099.9,1061.7,765.0,327.9,7,0,5
file9.txt,1669.8,1044.8,681.0,307.8,7,6,4
file10.txt,2171.6,1081.3,643.4,580.9,3,0,2
file11.txt,1329.9,1079.4,751.3,483.6,11,2,2
file12.txt,1837.7,1092.7,736.8,231.8,7,3,3
file13.txt,1543.5,1029.0,613.5,382.6,6,0,6
file14.txt,1757.4,1025.9,722.6,365.7,6,0,1
file15.txt,2228.6,1008.6,883.8,480.3,1,0,2
file16.txt,1945.8,1132.6,832.5,484.0,1,6,0
file17.txt,1658.7,928.6,738.1,285.7,14,2,1
file18.txt,1752.2,986.6,710.3,473.6,4,1,3
file19.txt,1797.0,1061.5,577.3,456.2,2,2,3
file20.txt,1340.9,1195.5,525.0,315.0,9,3,5
file21.txt,1716.4,1029.8,632.3,280.0,6,3,2
file22.txt,2579.4,1238.1,825.4,365.1,1,0,2
file23.txt,1737.2,1172.8,634.9,590.8,3,0,0
file24.txt,1580.3,1202.8,763.8,544.3,7,0,3
file25.txt,2112.2,1060.5,964.1,333.0,0,0,1
file26.txt,2190.8,881.2,970.1,258.7,3,0,3
file27.txt,2313.5,936.1,882.8,433.8,1,0,0
file28.txt,2054.2,987.8,830.4,288.5,5,0,4
file29.txt,1572.5,949.3,521.7,384.1,15,2,2
file30.txt,1519.7,1017.6,793.8,461.3,9,5,3
file31.txt,2265.1,1076.3,739.0,425.7,7,0,2
file32.txt,1805.8,1047.7,724.0,221.5,4,3,3
file33.txt,1959.3,967.5,886.2,398.4,6,0,0
file34.txt,2282.6,1105.1,779.0,362.3,5,1,5
file35.txt,1559.3,1055.1,744.8,457.7,6,1,2
file36.txt,1658.2,1116.8,651.4,439.9,9,2,2
file37.txt,2187.8,1076.7,835.5,396.2,1,0,1
