Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
file1.txt,1977.4,1096.0,734.5,452.0,1,0,2
file2.txt,1817.1,1099.5,544.0,370.4,2,0,0
file3.txt,2034.9,886.6,1046.5,581.4,7,0,2
file4.txt,1651.8,1105.5,622.6,533.7,2,0,0
file5.txt,1651.7,1306.0,640.2,793.9,2,0,2
file6.txt,2205.7,954.2,768.3,594.8,1,0,0
file7.txt,2232.0,1034.0,857.5,479.2,4,0,0
file8.txt,1913.3,1262.8,446.4,408.2,2,0,0
file9.txt,2015.0,1251.6,675.8,500.6,2,0,0
file10.txt,1936.3,1167.1,530.5,397.9,3,0,1
file11.txt,2049.8,1054.5,722.7,639.8,1,0,0
file12.txt,2225.1,1178.0,667.5,706.8,0,0,0
file13.txt,2541.1,1106.1,881.9,343.8,0,0,1
file14.txt,2105.3,1101.6,734.4,465.1,1,0,1
file15.txt,2109.0,1018.7,932.6,545.2,0,0,0
file16.txt,1858.6,1007.9,471.2,562.8,3,0,0
file17.txt,2355.8,1092.0,674.8,454.0,0,0,1
file18.txt,2084.9,923.8,1023.7,474.4,3,0,2
file19.txt,1865.4,995.8,729.3,533.0,8,0,1
file20.txt,1973.2,1140.9,510.1,644.3,3,0,2
file21.txt,1568.6,980.4,680.5,715.1,2,0,0
file22.txt,2151.9,1063.3,708.9,708.9,0,0,0
file23.txt,1805.1,984.6,533.3,646.2,4,0,2
file24.txt,2077.3,978.3,1002.4,591.8,0,0,0
file25.txt,2002.6,1122.4,650.5,420.9,1,0,0
file26.txt,2018.7,1225.2,630.1,443.4,0,0,0
file27.txt,2002.5,920.4,796.0,671.6,0,0,0
file28.txt,2059.3,1274.1,637.0,355.6,0,0,0
file29.txt,1989.5,1335.1,654.5,340.3,0,0,0
file30.txt,2167.3,1159.7,988.6,304.2,0,0,0
file31.txt,2220.9,940.1,599.3,399.5,5,0,0
file32.txt,1553.6,1430.3,616.5,530.2,3,0,0
file33.txt,2121.4,1163.1,577.9,636.4,0,0,0
file34.txt,1849.0,1050.3,754.9,459.5,2,0,1
file35.txt,1979.9,1165.4,576.4,413.5,2,0,0
file36.txt,1444.2,1201.5,594.7,558.3,0,0,0
file37.txt,1782.3,1197.3,761.9,489.8,2,0,0
file38.txt,2161.8,1099.0,531.4,603.9,1,0,4
file39.txt,2126.3,953.6,837.6,489.7,0,0,0
file40.txt,2382.8,887.2,722.4,418.3,0,0,0
file41.txt,1751.7,986.1,696.1,614.8,0,0,2
file42.txt,1733.3,1211.1,611.1,466.7,4,0,1
file43.txt,1688.5,1217.3,680.6,484.3,1,0,2
file44.txt,2163.5,1045.7,613.0,444.7,2,0,4
file45.txt,1805.4,1297.3,627.0,551.4,2,0,0
file46.txt,2079.9,1081.1,763.8,434.8,1,0,0
file47.txt,2148.9,1207.9,547.8,519.7,1,0,1
file48.txt,1952.6,1087.9,1143.7,446.3,1,0,1
file49.txt,1903.6,1180.2,558.4,380.7,1,0,0
file50.txt,2133.3,1066.7,497.0,412.1,3,0,0
file51.txt,1844.4,1022.2,688.9,688.9,4,0,0
file52.txt,2127.0,1026.5,804.2,634.9,0,0,1
file53.txt,2250.0,1166.7,583.3,404.8,2,0,2
file54.txt,2091.7,1128.1,646.3,599.3,0,0,2
file55.txt,1924.8,1093.4,603.6,478.4,2,0,2
file56.txt,1901.1,1026.6,798.5,735.1,2,0,0
file57.txt,1677.1,1013.8,876.1,475.6,7,0,1
file58.txt,1723.7,1204.1,760.5,545.0,1,0,0
file59.txt,1931.4,1164.3,568.6,514.4,0,0,0
file60.txt,1552.5,1255.7,536.5,468.0,1,0,3
file61.txt,1522.0,1281.7,560.7,240.3,1,0,0
file62.txt,2048.0,1226.3,594.2,354.0,2,1,0
file63.txt,1982.3,984.8,429.3,631.3,1,0,1
