Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
file1.txt,1739.6,1070.5,838.9,365.4,13,0,1
file2.txt,1403.7,1023.8,566.6,495.8,11,0,1
file3.txt,1714.1,967.3,668.6,398.3,10,0,0
file4.txt,1682.2,996.9,691.6,523.4,7,0,2
file5.txt,1768.8,814.8,752.1,410.9,15,1,10
file6.txt,1553.2,1031.2,795.7,515.6,9,0,2
file7.txt,1519.6,1127.5,532.2,420.2,8,0,2
file8.txt,1754.3,1019.6,582.6,291.3,12,1,4
file9.txt,1369.0,1232.1,666.7,589.3,12,2,2
file10.txt,1568.4,978.8,795.6,452.2,9,0,1
file11.txt,1756.3,1089.6,709.7,336.9,13,0,2
file12.txt,1220.1,1162.0,406.7,432.5,16,0,4
file13.txt,1506.5,1245.2,399.7,330.5,12,0,1
file14.txt,1497.3,1205.3,481.3,423.7,14,0,4
file15.txt,1374.7,1139.0,494.9,329.9,6,0,2
file16.txt,1312.3,1341.0,464.2,384.0,9,0,5
file17.txt,973.1,1231.6,527.1,506.8,11,1,2
file18.txt,1514.7,957.0,746.0,437.1,10,0,3
file19.txt,1295.8,1401.8,529.7,366.7,7,0,2
file20.txt,1462.1,1011.7,705.0,528.7,7,0,2
file21.txt,1694.4,822.3,789.0,282.4,9,0,2
