Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
file1.txt,2075.5,1096.1,566.0,377.4,3,0,1
file2.txt,1720.6,928.4,1192.5,630.3,3,0,1
file3.txt,1540.2,1243.1,902.1,473.0,2,0,2
file4.txt,1969.7,1000.0,596.0,515.2,4,0,2
file5.txt,1912.4,1018.8,759.6,303.8,1,0,0
file6.txt,1761.9,1142.9,1028.6,600.0,2,0,11
file7.txt,1739.1,1322.5,824.3,371.4,2,0,3
file8.txt,1563.8,1012.3,913.6,642.0,1,0,4
file9.txt,2308.5,949.9,510.7,449.4,5,0,1
file10.txt,1511.4,1041.5,877.1,477.7,6,1,4
file11.txt,1800.3,1208.9,801.6,381.1,7,0,2
file12.txt,1810.4,1011.7,639.0,447.3,0,0,2
file13.txt,1810.4,1011.7,639.0,447.3,0,0,2
file14.txt,1982.0,1036.0,639.6,351.4,6,0,3
file15.txt,1508.6,948.6,708.6,480.0,5,1,5
file16.txt,1783.8,1126.2,710.5,491.3,1,0,2
file17.txt,1762.0,1001.5,685.2,527.1,4,0,2
file18.txt,1506.4,1066.0,741.6,463.5,4,0,1
file19.txt,1863.9,1075.0,552.3,473.4,2,0,1
file20.txt,1863.9,1075.0,552.3,473.4,2,0,1
file21.txt,1873.0,928.6,587.3,349.2,17,0,3
file22.txt,1447.7,1351.9,604.0,316.4,4,0,2
file23.txt,1744.6,1202.0,617.7,425.7,5,0,3
file24.txt,1699.6,1052.2,827.3,287.8,6,0,0
file25.txt,1476.0,987.1,913.3,507.4,11,1,6
file26.txt,1795.4,1206.8,713.8,301.7,7,0,4
file27.txt,2006.3,876.5,897.6,601.9,2,0,1
file28.txt,1828.1,892.3,761.7,217.6,2,0,1
file29.txt,1638.1,1173.6,806.8,562.3,1,0,1
file30.txt,1894.7,1298.2,807.0,362.6,2,0,0
file31.txt,1872.8,1283.2,797.7,358.4,2,0,0
file32.txt,1568.9,1377.2,598.8,562.9,0,0,0
file33.txt,1937.9,1065.1,769.2,369.8,2,0,4
file34.txt,1773.7,1055.0,535.2,519.9,4,0,3
file35.txt,2120.8,1169.7,912.6,501.3,3,0,3
file36.txt,1641.9,1186.9,731.9,494.6,6,0,3
file37.txt,1637.1,1183.4,729.8,493.1,7,0,3
file38.txt,1580.2,1001.2,687.6,398.1,7,0,9
file39.txt,1796.6,1095.8,552.8,256.7,2,0,2
file40.txt,1700.8,904.2,613.6,269.1,5,0,10
file41.txt,2111.9,947.5,764.8,353.9,4,1,6
file42.txt,2061.4,1083.4,671.1,326.0,7,0,2
file43.txt,1869.6,1184.8,750.0,423.9,5,0,1
file44.txt,1808.3,1067.5,588.2,413.9,3,0,1
file45.txt,1676.4,984.2,950.8,367.0,3,0,2
file46.txt,2039.5,1085.5,838.8,345.4,4,0,1
file47.txt,1910.1,1011.2,786.5,510.7,3,0,3
file48.txt,1930.5,1116.2,576.4,402.6,4,0,5
file49.txt,1287.0,1287.0,572.0,316.6,8,1,8
file50.txt,1648.4,1208.8,668.5,384.6,5,0,0
file51.txt,1996.8,1078.3,686.9,351.4,4,0,4
file52.txt,1936.7,1063.3,797.5,544.3,5,0,0
file53.txt,2279.6,1175.4,694.6,329.5,2,0,7
file54.txt,1805.4,1113.7,820.6,410.3,5,0,5
file55.txt,1968.8,1072.1,643.3,467.8,0,0,0
file56.txt,1689.6,982.6,771.3,440.8,10,2,8
file57.txt,1964.1,1341.1,528.0,506.9,2,0,2
